x오차: -0.00048  y오차: -0.00571  z오차: -0.24256  거리: 0.24263
x오차: -0.00044  y오차: -0.00572  z오차: -0.24246  거리: 0.24253
x오차: -0.00040  y오차: -0.00575  z오차: -0.24233  거리: 0.24240
x오차: -0.00035  y오차: -0.00578  z오차: -0.24216  거리: 0.24223
x오차: -0.00029  y오차: -0.00583  z오차: -0.24196  거리: 0.24203
x오차: -0.00023  y오차: -0.00589  z오차: -0.24171  거리: 0.24179
x오차: -0.00015  y오차: -0.00596  z오차: -0.24143  거리: 0.24151
x오차: -0.00007  y오차: -0.00605  z오차: -0.24112  거리: 0.24120
x오차: -0.00000  y오차: -0.00615  z오차: -0.24078  거리: 0.24086
x오차: 0.00006  y오차: -0.00625  z오차: -0.24042  거리: 0.24051
x오차: 0.00012  y오차: -0.00636  z오차: -0.24004  거리: 0.24013
x오차: 0.00016  y오차: -0.00647  z오차: -0.23964  거리: 0.23973
x오차: 0.00020  y오차: -0.00659  z오차: -0.23922  거리: 0.23931
x오차: 0.00023  y오차: -0.00671  z오차: -0.23877  거리: 0.23887
x오차: 0.00024  y오차: -0.00683  z오차: -0.23831  거리: 0.23841
x오차: 0.00026  y오차: -0.00695  z오차: -0.23782  거리: 0.23792
x오차: 0.00026  y오차: -0.00708  z오차: -0.23732  거리: 0.23742
x오차: 0.00025  y오차: -0.00721  z오차: -0.23679  거리: 0.23690
x오차: 0.00024  y오차: -0.00734  z오차: -0.23624  거리: 0.23635
x오차: 0.00022  y오차: -0.00747  z오차: -0.23567  거리: 0.23579
x오차: 0.00019  y오차: -0.00760  z오차: -0.23508  거리: 0.23520
x오차: 0.00015  y오차: -0.00773  z오차: -0.23447  거리: 0.23460
x오차: 0.00011  y오차: -0.00787  z오차: -0.23384  거리: 0.23397
x오차: 0.00006  y오차: -0.00800  z오차: -0.23318  거리: 0.23332
x오차: -0.00000  y오차: -0.00813  z오차: -0.23251  거리: 0.23265
x오차: -0.00007  y오차: -0.00827  z오차: -0.23182  거리: 0.23196
x오차: -0.00014  y오차: -0.00840  z오차: -0.23110  거리: 0.23126
x오차: -0.00022  y오차: -0.00854  z오차: -0.23037  거리: 0.23053
x오차: -0.00030  y오차: -0.00867  z오차: -0.22961  거리: 0.22977
x오차: -0.00039  y오차: -0.00881  z오차: -0.22883  거리: 0.22900
x오차: -0.00049  y오차: -0.00894  z오차: -0.22803  거리: 0.22821
x오차: -0.00059  y오차: -0.00907  z오차: -0.22722  거리: 0.22740
x오차: -0.00070  y오차: -0.00920  z오차: -0.22638  거리: 0.22656
x오차: -0.00081  y오차: -0.00932  z오차: -0.22551  거리: 0.22571
x오차: -0.00093  y오차: -0.00944  z오차: -0.22463  거리: 0.22483
x오차: -0.00104  y오차: -0.00955  z오차: -0.22373  거리: 0.22394
x오차: -0.00117  y오차: -0.00966  z오차: -0.22281  거리: 0.22302
x오차: -0.00129  y오차: -0.00976  z오차: -0.22186  거리: 0.22208
x오차: -0.00142  y오차: -0.00985  z오차: -0.22090  거리: 0.22112
x오차: -0.00155  y오차: -0.00994  z오차: -0.21991  거리: 0.22014
x오차: -0.00168  y오차: -0.01003  z오차: -0.21890  거리: 0.21914
x오차: -0.00182  y오차: -0.01011  z오차: -0.21788  거리: 0.21812
x오차: -0.00195  y오차: -0.01018  z오차: -0.21683  거리: 0.21707
x오차: -0.00210  y오차: -0.01025  z오차: -0.21575  거리: 0.21601
x오차: -0.00224  y오차: -0.01031  z오차: -0.21466  거리: 0.21492
x오차: -0.00238  y오차: -0.01037  z오차: -0.21355  거리: 0.21381
x오차: -0.00253  y오차: -0.01043  z오차: -0.21241  거리: 0.21268
x오차: -0.00268  y오차: -0.01048  z오차: -0.21126  거리: 0.21153
x오차: -0.00283  y오차: -0.01052  z오차: -0.21008  거리: 0.21036
x오차: -0.00298  y오차: -0.01057  z오차: -0.20888  거리: 0.20917
x오차: -0.00313  y오차: -0.01060  z오차: -0.20766  거리: 0.20795
x오차: -0.00328  y오차: -0.01063  z오차: -0.20642  거리: 0.20672
x오차: -0.00344  y오차: -0.01066  z오차: -0.20515  거리: 0.20546
x오차: -0.00359  y오차: -0.01068  z오차: -0.20387  거리: 0.20418
x오차: -0.00375  y오차: -0.01070  z오차: -0.20256  거리: 0.20288
x오차: -0.00390  y오차: -0.01071  z오차: -0.20123  거리: 0.20156
x오차: -0.00406  y오차: -0.01072  z오차: -0.19988  거리: 0.20021
x오차: -0.00421  y오차: -0.01073  z오차: -0.19851  거리: 0.19885
x오차: -0.00437  y오차: -0.01073  z오차: -0.19712  거리: 0.19746
x오차: -0.00452  y오차: -0.01073  z오차: -0.19570  거리: 0.19605
x오차: -0.00468  y오차: -0.01072  z오차: -0.19427  거리: 0.19462
x오차: -0.00483  y오차: -0.01071  z오차: -0.19281  거리: 0.19316
x오차: -0.00498  y오차: -0.01069  z오차: -0.19132  거리: 0.19169
x오차: -0.00513  y오차: -0.01067  z오차: -0.18982  거리: 0.19019
x오차: -0.00528  y오차: -0.01065  z오차: -0.18830  거리: 0.18867
x오차: -0.00543  y오차: -0.01062  z오차: -0.18675  거리: 0.18713
x오차: -0.00558  y오차: -0.01059  z오차: -0.18518  거리: 0.18557
x오차: -0.00572  y오차: -0.01056  z오차: -0.18359  거리: 0.18398
x오차: -0.00586  y오차: -0.01052  z오차: -0.18198  거리: 0.18237
x오차: -0.00600  y오차: -0.01048  z오차: -0.18034  거리: 0.18075
x오차: -0.00614  y오차: -0.01043  z오차: -0.17868  거리: 0.17909
x오차: -0.00627  y오차: -0.01039  z오차: -0.17701  거리: 0.17742
x오차: -0.00640  y오차: -0.01034  z오차: -0.17531  거리: 0.17573
x오차: -0.00652  y오차: -0.01029  z오차: -0.17361  거리: 0.17404
x오차: -0.00663  y오차: -0.01024  z오차: -0.17190  거리: 0.17233
x오차: -0.00674  y오차: -0.01019  z오차: -0.17019  거리: 0.17062
x오차: -0.00684  y오차: -0.01014  z오차: -0.16847  거리: 0.16892
x오차: -0.00694  y오차: -0.01008  z오차: -0.16676  거리: 0.16721
x오차: -0.00703  y오차: -0.01003  z오차: -0.16506  거리: 0.16551
x오차: -0.00712  y오차: -0.00998  z오차: -0.16336  거리: 0.16382
x오차: -0.00720  y오차: -0.00992  z오차: -0.16167  거리: 0.16214
x오차: -0.00729  y오차: -0.00987  z오차: -0.15999  거리: 0.16046
x오차: -0.00737  y오차: -0.00981  z오차: -0.15833  거리: 0.15880
x오차: -0.00745  y오차: -0.00975  z오차: -0.15667  거리: 0.15715
x오차: -0.00753  y오차: -0.00968  z오차: -0.15503  거리: 0.15551
x오차: -0.00762  y오차: -0.00962  z오차: -0.15340  거리: 0.15389
x오차: -0.00770  y오차: -0.00955  z오차: -0.15178  거리: 0.15228
x오차: -0.00778  y오차: -0.00949  z오차: -0.15018  거리: 0.15068
x오차: -0.00785  y오차: -0.00942  z오차: -0.14859  거리: 0.14910
x오차: -0.00792  y오차: -0.00935  z오차: -0.14701  거리: 0.14752
x오차: -0.00798  y오차: -0.00928  z오차: -0.14545  거리: 0.14596
x오차: -0.00804  y오차: -0.00922  z오차: -0.14389  거리: 0.14441
x오차: -0.00809  y오차: -0.00916  z오차: -0.14235  거리: 0.14287
x오차: -0.00814  y오차: -0.00909  z오차: -0.14081  거리: 0.14134
x오차: -0.00818  y오차: -0.00903  z오차: -0.13929  거리: 0.13982
x오차: -0.00821  y오차: -0.00897  z오차: -0.13778  거리: 0.13832
x오차: -0.00823  y오차: -0.00891  z오차: -0.13629  거리: 0.13682
x오차: -0.00826  y오차: -0.00885  z오차: -0.13480  거리: 0.13534
x오차: -0.00827  y오차: -0.00879  z오차: -0.13332  거리: 0.13387
x오차: -0.00828  y오차: -0.00873  z오차: -0.13186  거리: 0.13241
x오차: -0.00829  y오차: -0.00868  z오차: -0.13041  거리: 0.13096
x오차: -0.00829  y오차: -0.00862  z오차: -0.12897  거리: 0.12952
x오차: -0.00828  y오차: -0.00857  z오차: -0.12754  거리: 0.12809
x오차: -0.00827  y오차: -0.00851  z오차: -0.12612  거리: 0.12668
x오차: -0.00826  y오차: -0.00846  z오차: -0.12471  거리: 0.12527
